date,ADX,ATR_14,Bollinger_lower,Bollinger_middle,Bollinger_upper,CCI_20,Ichimoku_base_line,Ichimoku_conversion_line,Ichimoku_lagging_span,Ichimoku_leading_span_A,Ichimoku_leading_span_B,MACD_line,MACD_signal,MINUS_DI,PLUS_DI,RSI_14,SMA_20,SMA_50,Stochastic_D,Stochastic_K
2014-05-21,21.371990846062968,2.276994009657819,262.05590127211457,262.8460000000001,263.63609872788567,79.75671457021473,259.15211538461546,259.97722222222313,260.56,254.46045981262367,253.95586538461527,1.27806427020613,0.596163167370915,20.349281560928265,28.077166089926887,61.43755396364733,258.8254999999998,257.30779999999993,91.21793358811652,82.33434720282395
2014-05-30,17.05295782580947,2.378740574110053,259.1526177473012,261.642,264.1313822526988,27.522204962760437,259.71557692307704,262.5394444444454,258.87,255.369630588429,255.52413461538455,1.0663554177097012,1.1406688159519727,26.479277363306696,20.473952220897047,48.87577094664726,259.8359999999998,258.74279999999993,48.18118459551249,51.52952955430923
2014-06-09,17.01892697626132,2.4508852961567356,258.8795745162428,260.76000000000005,262.64042548375727,-26.223482053869045,259.7509615384616,261.6455555555565,260.4,256.27224194608846,256.2749999999999,0.6243326205129165,0.9491624234006204,22.219116942079392,15.269071941959869,47.57945278393038,261.19949999999983,259.5601999999999,37.474643332363705,31.47363875891122
2014-06-13,17.84002187765735,2.5249636855355186,257.91001547989373,261.14,264.36998452010624,-215.53143138940223,260.52096153846156,261.2327777777787,261.51,257.33124465812,256.531923076923,0.4432266281154966,0.7606968525718761,26.321592660782695,12.768244266958337,44.50632326390816,261.9534999999998,260.0537999999999,68.7332141134399,57.528505779576214
2014-06-20,22.365650670194523,2.4528904654562425,255.08667696267239,258.53999999999996,261.9933230373275,-222.10527155148196,261.3026923076924,259.92555555555657,265.53,258.0700115055888,256.6353846153845,-0.497194937777067,0.1790374510348,30.006197270625854,11.498491136384372,37.17113912914149,260.87699999999984,259.9963999999999,26.37607941157636,16.830995158590834
2014-07-11,15.166487181354228,2.1813630499480783,256.56398984766395,258.92799999999994,261.29201015233593,-159.9067599067576,259.63942307692315,259.66444444444545,266.62,259.358712606838,258.7955769230768,-0.32013510875464135,-0.10885849410085864,27.41202493009091,17.12630536708402,41.31487764905159,259.24649999999986,259.6825999999999,28.244365260631557,22.228440547627667
2014-08-08,22.919164153953606,2.459565411166014,261.26141065664325,266.3079999999999,271.3545893433565,-33.774580184388824,263.26192307692327,267.7827777777788,262.31,260.5066933760688,259.848173076923,1.5170464628474747,1.8409777564821774,27.2946259718317,25.292028035595855,44.55623004410059,264.48449999999985,261.74019999999996,17.719196841953174,11.067453316749244
2014-08-21,16.403815547791073,2.718871425529207,261.9800742581876,265.2119999999999,268.44392574181217,-85.48000375436409,265.16076923076946,265.065000000001,252.81,260.149128451677,259.6203846153845,0.5974784706215246,1.0067029609382043,24.00015149925032,20.44992773882439,45.255628463203145,265.9654999999998,262.2802,58.40320095492357,52.983198444522706
2014-09-11,13.746025578821328,2.4218584477166507,259.67529889699915,261.99199999999985,264.30870110300054,-180.84263593806438,265.1003846153848,264.0044444444455,241.48,260.20517669296567,261.2723076923076,-0.5985527912684461,0.0177333616367491,30.748846456014707,18.55320234390646,37.53811653032819,264.2599999999997,263.47259999999994,25.038520324745377,22.823378854636292
2014-10-17,43.570426532498296,2.749507302977668,239.64350919084657,243.02999999999992,246.41649080915326,-121.05864997686848,254.6338461538464,245.67833333333425,252.34,265.01606673241344,263.2655769230768,-5.254873094920612,-4.1938617344633595,46.79276658980905,9.381023131637196,15.75162796905758,252.18099999999987,259.5265999999999,24.48351374316842,20.59226877675105
2014-11-05,33.914972954723325,2.874049391280457,244.72821604521565,248.06999999999994,251.41178395478423,39.87066691984795,246.93846153846184,246.37166666666755,245.54,264.23431952662776,263.5286538461538,-1.7400083066488037,-2.7389115797996992,27.008699455365313,18.879774880630254,43.669069964127274,245.02699999999976,254.24199999999993,66.13693069351886,40.02029158832856
2014-11-14,23.87637932867596,2.6687154989895925,248.041418105944,250.12799999999987,252.21458189405575,45.016077170419784,245.99884615384644,248.75222222222308,249.7,262.59264176528654,262.54326923076917,-0.20378090670342885,-1.0094350516748645,25.232345114123415,22.057898973785818,48.205310252619185,246.85949999999974,252.069,73.6172282803191,55.80528869948525
