"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2025","330.31","333.10","334.10","329.53","116.77M","-1.27%"
"01/10/2025","334.55","336.60","337.61","333.39","139.73M","-0.25%"
"01/09/2025","335.40","336.11","338.12","334.77","145.22M","0.13%"
"01/08/2025","334.95","328.98","336.02","328.98","139.75M","1.23%"
"01/07/2025","330.89","335.46","336.60","330.89","133.15M","-0.19%"
"01/06/2025","331.52","325.82","331.61","324.89","102.03M","2.32%"
"01/03/2025","324.00","318.26","326.06","318.04","110.73M","1.96%"
"01/02/2025","317.77","317.68","319.01","315.82","91.35M","-0.02%"
"12/30/2024","317.82","318.13","322.20","316.94","73.58M","-0.38%"
"12/27/2024","319.03","320.24","321.30","316.91","86.74M","-0.75%"
"12/26/2024","321.45","324.48","324.48","321.42","92.61M","-0.60%"
"12/24/2024","323.39","324.11","324.50","321.86","78.51M","0.13%"
"12/23/2024","322.98","321.00","324.00","319.77","100.61M","1.46%"
"12/20/2024","318.33","321.38","321.80","315.82","124.96M","-1.26%"
"12/19/2024","322.38","321.42","324.37","321.11","104.15M","-2.23%"
"12/18/2024","329.72","326.00","330.90","325.90","96.32M","1.37%"
"12/17/2024","325.25","329.25","329.38","324.90","125.13M","-1.32%"
"12/16/2024","329.61","332.92","333.59","328.63","108.95M","-0.27%"
"12/13/2024","330.49","328.14","331.67","327.46","115.70M","0.44%"
"12/12/2024","329.04","325.84","330.10","324.79","173.97M","1.60%"
"12/11/2024","323.86","319.56","323.99","319.36","104.24M","0.96%"
"12/10/2024","320.79","317.02","321.11","317.00","139.13M","2.25%"
"12/09/2024","313.74","317.30","318.70","313.51","151.03M","-2.59%"
"12/06/2024","322.07","325.18","326.21","317.70","156.24M","-0.56%"
"12/05/2024","323.87","327.44","327.44","322.80","144.87M","-0.83%"
"12/04/2024","326.59","324.38","329.01","323.90","217.71M","-1.46%"
"12/03/2024","331.44","327.45","331.60","327.45","129.91M","1.87%"
"12/02/2024","325.34","328.47","328.89","324.49","117.60M","-0.03%"
"11/29/2024","325.45","330.18","330.30","323.55","134.81M","-1.81%"
"11/28/2024","331.45","331.60","333.27","330.89","102.69M","-0.26%"
"11/27/2024","332.32","334.85","335.63","331.56","121.77M","-0.98%"
"11/26/2024","335.60","334.79","336.16","334.08","133.02M","-0.31%"
"11/25/2024","336.63","335.66","337.81","334.14","213.36M","1.28%"
"11/22/2024","332.36","331.20","334.00","330.84","113.35M","0.87%"
"11/21/2024","329.49","327.74","331.81","327.67","116.36M","0.14%"
"11/20/2024","329.02","328.73","330.33","327.58","109.86M","0.28%"
"11/19/2024","328.11","328.17","329.76","327.25","141.86M","-0.10%"
"11/18/2024","328.44","324.74","330.32","324.07","159.11M","2.47%"
"11/15/2024","320.53","318.19","322.58","316.14","177.52M","0.89%"
"11/14/2024","317.70","320.32","321.87","316.99","213.66M","-0.36%"
"11/13/2024","318.84","325.38","327.20","318.58","171.26M","-2.59%"
