date,open,high,low,close,volume,change,updown,comp,amount,marcap,highlow,SMA_20,SMA_50,RSI_14,MACD_line,MACD_signal,Bollinger_upper,Bollinger_middle,Bollinger_lower,ATR_14,CCI_20,Stochastic_K,Stochastic_D,ADX,PLUS_DI,MINUS_DI,Ichimoku_conversion_line,Ichimoku_base_line,Ichimoku_leading_span_A,Ichimoku_leading_span_B,Ichimoku_lagging_span
2010-03-03,211.42,212.4,210.81,212.36,69141808,0.0044,1,0.92,2607268719812,740872098782130,0,209.6745,,50.0638846429068,-2.05436525575143,-3.01453594960456,213.821332370609,210.128,206.434667629391,3.39645974222092,63.6222821410122,63.3977517867502,40.8347613559089,28.6398330060854,20.5999441680826,26.0509375347918,211.178888888889,210.703461538462,,,228.27
2010-03-04,212.75,213.66,211.12,211.91,71063015,-0.0021,2,-0.45,2652139459002,738790138214810,0,209.8065,,49.2836053428783,-1.81292962447199,-2.77421468457805,214.265859895956,210.326,206.386140104045,3.33528404634799,68.3472464047371,80.7153636344911,59.2450041255977,26.9652649050298,22.1902883702291,24.6226313099885,211.106111111111,210.448846153846,,,226.81
2010-03-05,212.87,214.09,212.79,214.05,75189955,0.0101,1,2.14,2702711406227,746240543716540,0,209.916,,53.032545490889,-1.43239823672346,-2.50585139500713,215.333072121129,211.624,207.914927878871,3.25276375732314,100.100920625266,91.2171100160658,78.4434084791023,25.253219497905,22.0713711908263,23.435029277534,211.41,210.3325,,,224.59
2010-03-08,216.79,217.87,216.31,217.73,110528408,0.0172,1,3.68,3996283016693,758519378725670,0,210.2165,,58.6878576280591,-0.824376229379453,-2.16955636188159,218.082031413484,213.498,208.913968586517,3.29328063180006,171.290759786333,90.8104721615889,87.5809819373819,24.4508650879033,28.4852085219028,21.4799627240527,211.870555555556,210.448653846154,,,224.69
2010-03-09,217.4,217.89,216.74,217.82,88554932,0.0004,1,0.09,3424440568322,758715648793560,0,210.8545,,58.8184571371074,-0.331431622720999,-1.80193141404948,219.878517215161,214.774,209.66948278484,3.14018915810005,157.494349571854,98.8501066456706,93.6258962744418,23.7115978700072,27.7808640686449,20.9142987582334,212.389444444444,210.553461538462,,,228.08
2010-03-10,217.9,218.07,216.63,217.82,96014427,0.0,3,0.0,2975134590428,759535889711150,0,211.577,,58.8184571371074,0.0585555377404035,-1.4298340236915,220.76975529567,215.866,210.96224470433,3.01874707537862,147.238419177193,97.8312460584646,95.8306082885747,23.0805618853163,27.2568208205514,20.1970620232144,213.092777777778,210.777884615385,,,229.17
2010-03-11,218.98,219.29,216.65,216.76,144915647,-0.0049,2,-1.06,3822448006661,756488574425125,0,212.1145,,56.3837296990312,0.278875329694614,-1.08809215301428,219.734733516514,216.836,213.937266483487,2.99169371285157,136.19596422744,85.4970334032644,94.0594620357999,22.8707111590439,28.4588725861514,18.9162638526016,214.033333333333,211.075769230769,,,227.69
2010-03-12,218.11,218.17,216.14,217.35,92658129,0.0027,1,0.59,2961795419339,759268159076140,0,212.685,,57.4397487059288,0.495378011941426,-0.771398120023136,218.309741973712,217.496,216.682258026289,2.92300130479075,116.200105318587,65.2974997291545,82.8752597302945,22.44334424978,27.0389672428256,19.2259456443333,215.075555555556,211.333461538462,,,223.65
2010-03-15,217.53,218.15,214.63,215.49,83214167,-0.0086,2,-1.86,2605270553664,752921525609455,0,212.973,,53.0768608072129,0.510981218693871,-0.514922252279735,218.790063144603,217.048,215.305936855397,2.96564406873426,79.5143094568231,39.3148523706465,63.3697951676885,21.3825912277703,24.7344727802517,21.2434594492057,215.633888888889,211.532307692308,,,225.13
2010-03-16,216.15,216.26,214.5,215.25,129470353,-0.0011,2,-0.24,4192437409305,752076364191960,-1,213.2985,215.3134,52.5225033155393,0.498237506392286,-0.312290300545331,218.555745780198,216.534,214.512254219803,2.87952663525325,52.3425005898844,24.1750846922567,42.9291455973526,20.3413609386364,23.6491574687687,20.6354287710514,216.053333333333,211.678653846154,,,229.09
2010-03-17,217.39,220.28,216.83,220.28,117942731,0.0234,1,5.03,4225728714650,769295033232920,0,213.826,215.2492,61.5795830732861,0.883828757365222,-0.07306648896322,220.634625222958,217.026,213.417374777043,3.0331318755923,130.800647552365,44.7041852213572,36.0647074280868,20.6789845026769,30.3443880217042,18.1802001751166,216.738333333333,212.186538461539,,,227.76
2010-03-18,219.69,220.88,219.02,219.02,109220215,-0.0057,2,-1.26,3686817453440,765682496596945,0,214.105,215.1728,58.5656698861623,1.07534522171878,0.156615853173179,221.393250183551,217.478,213.562749816449,2.94933674162142,122.369152458555,62.1680050086933,43.6824249741024,21.1559307798765,30.4309588824633,17.3577646263091,217.461666666667,212.808461538462,,,227.36
2010-03-19,220.05,220.77,219.32,220.48,104883231,0.0067,1,1.46,3439822288320,770646550437915,1,214.5015,215.089,60.9505984293823,1.32960632374258,0.39121394728706,222.682010048024,218.104,213.525989951976,2.8636698315056,117.153975961703,88.1922675026124,65.0214859108876,21.5988094658475,29.0972385395199,16.5970129234283,217.79,213.402884615385,,,229.64
2010-03-22,219.31,219.73,217.35,218.52,99570166,-0.0089,2,-1.96,3066709886245,764355056060045,-1,214.9925,215.0332,56.2682238335651,1.35730825468721,0.58443280876709,222.47314761866,218.71,214.94685238134,2.88269341496949,75.6921335238903,75.8620689655173,75.407447158941,21.0624651286803,26.8320999762655,20.2046300143352,217.926111111111,213.872884615385,,,229.28
2010-03-23,220.27,220.95,219.44,220.09,94764612,0.0072,1,1.57,3828258818981,769175952239795,0,215.333,214.9818,58.986204756738,1.48878631164172,0.765303509342016,221.214041666053,219.678,218.141958333948,2.8503581710431,99.513999808876,78.6220085014863,80.892114989872,20.9630451667521,28.2604398675578,18.9699462984324,218.242222222222,214.33,,,226.98
2010-03-24,221.71,222.03,219.73,220.09,95381941,0.0,3,0.0,3524569138765,768918177605805,0,215.665,214.939,58.986204756738,1.57482995955033,0.927208799383678,221.123077880584,219.64,218.156922119416,2.81104687311145,98.9776734041205,66.8942088426523,73.7927621032187,21.2053352094699,29.3567135745502,17.857614126757,218.565555555556,214.8225,,,226.11
2010-03-25,220.11,221.13,219.58,221.07,147419116,0.0045,1,0.98,3606406253850,772667644141125,0,216.1725,214.8996,60.7520866352923,1.70247293201945,1.08226162591083,221.739828393615,220.05,218.360171606385,2.72097209646063,92.374295848112,72.3868005421404,72.6343392954264,21.3535108030091,28.1584147219854,17.5237103338799,218.921111111111,215.2475,,,227.95
2010-03-26,220.35,222.63,219.83,222.25,96488435,0.0053,1,1.18,3239467340060,776555864243895,0,216.907,214.9612,62.8274523268922,1.87720776307623,1.24125085334391,222.869428157525,220.404,217.938571842475,2.72661694671344,109.267141375893,76.9457394457394,72.0755829435107,21.9579428551781,30.0279726940146,16.2345443755119,219.458888888889,215.570769230769,,,225.1
2010-03-29,220.11,222.55,220.03,221.6,100815454,-0.0029,2,-0.65,3307562911110,774297326927940,0,217.569,214.9694,60.9165888073655,1.94086373882641,1.38117343044041,222.712713797409,221.02,219.327286202591,2.71185859337676,105.772430104045,80.0006028454304,76.4443809444368,22.5192011893351,28.0293836422981,15.1540124668436,220.115555555556,215.887884615385,,,224.76
